iter	Passed	Remaining
400	23449	35028
401	23503	34963
402	23568	34914
403	23624	34852
404	23677	34785
405	23737	34728
406	23797	34673
407	23867	34630
408	23932	34581
409	23984	34514
410	24056	34474
411	24115	34417
412	24174	34359
413	24237	34306
414	24292	34243
415	24332	34159
416	24375	34078
417	24424	34007
418	24480	33945
419	24539	33887
420	24591	33821
421	24655	33769
422	24714	33712
423	24774	33655
424	24823	33585
425	24889	33536
426	24942	33470
427	24994	33403
428	25057	33351
429	25120	33298
430	25184	33248
431	25246	33195
432	25306	33137
433	25364	33079
434	25421	33018
435	25470	32947
436	25520	32878
437	25569	32808
438	25631	32755
439	25688	32694
440	25736	32623
441	25801	32572
442	25856	32510
443	25927	32467
444	25983	32405
445	26055	32364
446	26136	32334
447	26210	32295
448	26261	32227
449	26319	32168
450	26375	32106
451	26446	32063
452	26508	32009
453	26575	31960
454	26635	31903
455	26704	31857
456	26763	31799
457	26814	31732
458	26855	31652
459	26914	31595
460	26968	31531
461	27019	31463
462	27074	31401
463	27133	31344
464	27188	31281
465	27256	31234
466	27333	31196
467	27403	31151
468	27507	31143
469	27588	31110
470	27632	31035
471	27706	30993
472	27781	30953
473	27857	30913
474	27925	30865
475	27973	30794
476	28031	30734
477	28082	30667
478	28140	30608
479	28191	30541
480	28254	30486
481	28324	30440
482	28385	30383
483	28443	30323
484	28516	30280
485	28574	30221
486	28647	30176
487	28717	30130
488	28778	30072
489	28836	30013
490	28891	29950
491	28942	29883
492	28998	29822
493	29060	29766
494	29123	29711
495	29183	29654
496	29234	29587
497	29291	29526
498	29356	29473
499	29413	29413
500	29479	29361
501	29545	29310
502	29607	29254
503	29680	29209
504	29746	29157
505	29822	29114
506	29879	29054
507	29927	28985
508	29998	28937
509	30062	28883
510	30109	28813
511	30173	28759
512	30229	28697
513	30289	28639
514	30358	28589
515	30422	28535
516	30485	28481
517	30549	28426
518	30610	28369
519	30661	28302
520	30723	28246
521	30776	28181
522	30824	28113
523	30876	28047
524	30926	27981
525	30979	27916
526	31030	27851
527	31082	27785
528	31133	27720
529	31192	27661
530	31251	27602
531	31312	27545
532	31375	27489
533	31438	27434
534	31495	27374
535	31548	27310
536	31600	27246
537	31645	27175
538	31708	27119
539	31755	27051
540	31799	26979
541	31855	26918
542	31902	26849
543	31966	26795
544	32028	26739
545	32087	26680
546	32145	26621
547	32201	26560
548	32267	26507
549	32320	26443
550	32368	26376
551	32425	26316
552	32481	26255
553	32544	26200
554	32603	26141
555	32666	26086
556	32714	26019
557	32764	25952
558	32812	25885
559	32857	25816
560	32911	25754
561	32978	25702
562	33026	25635
563	33077	25570
564	33142	25516
565	33196	25454
566	33239	25383
567	33286	25316
568	33350	25261
569	33409	25203
570	33466	25143
571	33523	25083
572	33584	25027
573	33635	24963
574	33687	24899
575	33739	24835
576	33800	24779
577	33857	24719
578	33911	24657
579	33973	24601
580	34025	24538
581	34080	24476
582	34131	24413
583	34190	24354
584	34255	24301
585	34313	24241
586	34362	24177
587	34419	24116
588	34479	24059
589	34537	24000
590	34598	23943
591	34649	23880
592	34701	23816
593	34766	23762
594	34829	23707
595	34884	23646
596	34940	23586
597	35010	23535
598	35072	23479
599	35137	23424
600	35189	23362
601	35250	23304
602	35299	23240
603	35340	23170
604	35399	23112
605	35460	23055
606	35511	22991
607	35567	22931
608	35617	22867
609	35668	22804
610	35717	22739
611	35769	22677
612	35821	22615
613	35880	22557
614	35936	22496
615	35998	22440
616	36065	22387
617	36112	22322
618	36176	22266
619	36239	22211
620	36299	22153
621	36353	22092
622	36408	22031
