iter	RMSE
706	7.369737367
707	7.36950439
708	7.369327145
709	7.369174877
710	7.368976037
711	7.368856389
712	7.368725204
713	7.368503297
714	7.368313063
715	7.368121906
716	7.36795551
717	7.36771641
718	7.367515642
719	7.36732545
720	7.367094791
721	7.366910546
722	7.36674963
723	7.366548905
724	7.366339973
725	7.366165937
726	7.365977274
727	7.365761202
728	7.365619012
729	7.365466561
730	7.365267213
731	7.365069158
732	7.364892454
733	7.36474325
734	7.364601244
735	7.364415005
736	7.36422698
737	7.364103554
738	7.363918052
739	7.36376139
740	7.363547503
741	7.363377391
742	7.363214346
743	7.363010253
744	7.362850428
745	7.362673297
746	7.362438156
747	7.362227595
748	7.362097939
749	7.36193972
750	7.361775339
751	7.361614213
752	7.361394497
753	7.361177956
754	7.360982068
755	7.360808241
756	7.360632712
757	7.36046021
758	7.360316301
759	7.36011915
760	7.359937077
761	7.359782303
762	7.359589902
763	7.359450022
764	7.359239969
765	7.359029199
766	7.35881562
767	7.358704124
768	7.358500193
769	7.358310874
770	7.358114983
771	7.357941606
772	7.357752973
773	7.3576615
774	7.357531875
775	7.35735812
776	7.357174965
777	7.357049487
778	7.356854508
779	7.356637853
780	7.356471007
781	7.356267885
782	7.356159183
783	7.356003398
784	7.355834594
785	7.355641788
786	7.355466299
787	7.355284814
788	7.355093068
789	7.354924884
790	7.354794333
791	7.354610386
792	7.354407627
793	7.354290966
794	7.354096868
795	7.353906775
796	7.353750273
797	7.353613213
798	7.353426236
799	7.353259138
800	7.353137454
801	7.35295294
802	7.352808758
803	7.352596978
804	7.352451402
805	7.352291603
806	7.352125216
807	7.351941477
808	7.351804102
809	7.351639302
810	7.351498196
811	7.351309755
812	7.351101927
813	7.350919303
814	7.350723241
815	7.350524348
816	7.350347164
817	7.350185305
818	7.350048434
819	7.349933639
820	7.349800669
821	7.349618365
822	7.349420776
823	7.349288191
824	7.349107196
825	7.348943636
826	7.348794292
827	7.348605968
828	7.34844574
829	7.348260244
830	7.348072069
831	7.347940904
832	7.347790982
833	7.347625216
834	7.347438958
835	7.347277342
836	7.347175081
837	7.346973685
838	7.346870638
839	7.346716789
840	7.346564661
841	7.346401481
842	7.346246889
843	7.346090787
844	7.345933057
845	7.34581303
846	7.345612871
847	7.345404581
848	7.34522186
849	7.345083111
850	7.344949329
851	7.344788919
852	7.344667659
853	7.344471042
854	7.344313525
855	7.344172293
856	7.344048589
857	7.343875852
858	7.343714119
859	7.343585627
860	7.343458538
861	7.343248446
862	7.343117169
863	7.342965658
864	7.342839895
865	7.342738098
866	7.342560265
867	7.342396353
868	7.342247838
869	7.342140487
870	7.342028397
871	7.34186444
872	7.341719751
873	7.341536113
874	7.341420924
875	7.341260471
876	7.341121628
877	7.340954302
878	7.340822457
879	7.340668926
880	7.340491997
881	7.340349319
882	7.340202696
883	7.340042406
884	7.339870765
885	7.339722055
886	7.339603499
887	7.339448535
888	7.339321741
889	7.339191689
890	7.339084007
891	7.33892207
892	7.338780496
893	7.338611959
894	7.338459624
895	7.338330876
896	7.33819665
897	7.338037856
898	7.337891357
899	7.337748935
900	7.337616219
901	7.33745151
902	7.33729578
903	7.337152936
904	7.337020973
905	7.336876173
906	7.336731829
907	7.336605939
908	7.336458536
909	7.336349487
910	7.33621057
911	7.33605808
912	7.335878152
913	7.335696491
914	7.335562566
915	7.335417499
916	7.335327794
917	7.335193744
918	7.335067212
919	7.334900379
920	7.33472043
921	7.33459439
922	7.334463601
923	7.334313369
924	7.334134919
925	7.333943411
926	7.333784061
927	7.333681311
928	7.33355439
929	7.333420789
930	7.333303103
931	7.333183289
932	7.333090028
933	7.332928196
934	7.332781978
935	7.332647006
936	7.332519387
937	7.332357297
938	7.332213227
939	7.332111112
940	7.331948725
941	7.331824144
942	7.331671952
943	7.331523825
944	7.331401823
945	7.331231686
946	7.331119752
947	7.330945349
948	7.3308184
949	7.330728156
950	7.330592109
951	7.330455093
952	7.330308828
953	7.330160418
954	7.330043146
955	7.329892093
956	7.329737629
957	7.329636008
958	7.329517036
959	7.329353631
960	7.329219984
961	7.329073858
962	7.328883058
963	7.32873756
964	7.328600318
965	7.328434996
966	7.32827457
967	7.328139855
968	7.327969406
969	7.327810092
970	7.327652736
971	7.327471785
972	7.327337384
973	7.327211646
974	7.327129564
975	7.326994669
976	7.326862376
977	7.326705935
978	7.326588769
979	7.32645665
980	7.326360567
981	7.326237304
982	7.32614847
983	7.326011525
984	7.325858193
985	7.325755226
986	7.325611762
987	7.325485422
988	7.325367317
989	7.325212369
990	7.325034411
991	7.324947008
992	7.32482211
993	7.324728938
994	7.324578415
995	7.324447765
996	7.324358484
997	7.324207081
998	7.324068461
999	7.3239564
